Date,Close
2012-05-10,6142
2012-05-11,6002
2012-05-14,5977
2012-05-15,5843
2012-05-16,5647
2012-05-17,5763
2012-05-18,5863
2012-05-21,5941
2012-05-22,5890
2012-05-23,5791
2012-05-24,5832
2012-05-25,5904
2012-05-28,5989
2012-05-29,5962
2012-05-30,5801
2012-05-31,5851
2012-06-01,5832
2012-06-04,5947
2012-06-05,5931
2012-06-06,6088
2012-06-07,6133
2012-06-08,5935
2012-06-11,6063
2012-06-12,5988
2012-06-13,6081
2012-06-14,6080
2012-06-15,6070
2012-06-18,6010
2012-06-19,6063
2012-06-20,6010
2012-06-21,5911
2012-06-25,5716
2012-06-26,5791
2012-06-27,5745
2012-06-28,5737
2012-06-29,5751
2012-07-02,5796
2012-07-03,5909
2012-07-04,5948
2012-07-05,5993
2012-07-06,5872
2012-07-09,5806
2012-07-10,5798
2012-07-11,5774
2012-07-12,5743
2012-07-13,5828
2012-07-16,5828
2012-07-17,5830
2012-07-18,5811
2012-07-19,5822
2012-07-20,5799
2012-07-23,5790
2012-07-24,5794
2012-07-25,5745
2012-07-26,5872
2012-07-27,5926
2012-07-30,5893
2012-07-31,6022
2012-08-01,5990
2012-08-02,5896
2012-08-03,5862
2012-08-06,5950
2012-08-07,5966
2012-08-08,5955
2012-08-09,6020
2012-08-10,5975
2012-08-13,5994
2012-08-14,5975
2012-08-15,5953
2012-08-16,5951
2012-08-17,6030
2012-08-20,6019
2012-08-21,6149
2012-08-22,6260
2012-08-23,6524
2012-08-24,6487
2012-08-27,6632
2012-08-28,6566
2012-08-29,6620
2012-08-30,6572
2012-08-31,6494
2012-09-03,6821
2012-09-04,6876
2012-09-05,6877
2012-09-06,7043
2012-09-07,6874
2012-09-10,7213
2012-09-11,7188
2012-09-12,7182
2012-09-13,7056
2012-09-14,7384
2012-09-17,7352
2012-09-18,7289
2012-09-19,7434
2012-09-20,7306
2012-09-21,7409
2012-09-24,7165
2012-09-25,7159
2012-09-26,7150
2012-09-27,7234
2012-09-28,7378
2012-10-08,7105
2012-10-09,7105
2012-10-10,7080
2012-10-11,7120
2012-10-12,7080
2012-10-15,6884
2012-10-16,6865
2012-10-17,6863
2012-10-18,6883
2012-10-19,6759
2012-10-22,6748
2012-10-23,6717
2012-10-24,6738
2012-10-25,6806
2012-10-26,6679
2012-10-29,6723
2012-10-30,6708
2012-10-31,6719
2012-11-01,6907
2012-11-02,6751
2012-11-05,6520
2012-11-06,6569
2012-11-07,6752
2012-11-08,6681
2012-11-09,6775
2012-11-12,6819
2012-11-13,6732
2012-11-14,6817
2012-11-15,6783
2012-11-16,6728
2012-11-19,6788
2012-11-20,6885
2012-11-21,6844
2012-11-22,6884
2012-11-23,6926
2012-11-26,7036
2012-11-27,7029
2012-11-28,6967
2012-11-29,6883
2012-11-30,6982
2012-12-03,6815
2012-12-04,6716
2012-12-05,6737
2012-12-06,6640
2012-12-07,6691
2012-12-10,6742
2012-12-11,6711
2012-12-12,6709
2012-12-13,6600
2012-12-14,6830
2012-12-17,6782
2012-12-18,6875
2012-12-19,6709
2012-12-20,6604
2012-12-21,6334
2012-12-24,6402
2012-12-25,6319
2012-12-26,6327
2012-12-27,6359
2012-12-28,6417
2012-12-31,6427
2013-01-04,6226
2013-01-07,6392
2013-01-08,6370
2013-01-09,6429
2013-01-10,6425
2013-01-11,6469
2013-01-14,6479
2013-01-15,6545
2013-01-16,6599
2013-01-17,6580
2013-01-18,6662
2013-01-21,6651
2013-01-22,6694
2013-01-23,6679
2013-01-24,6602
2013-01-25,6573
2013-01-28,6502
2013-01-29,6515
2013-01-30,6537
2013-01-31,6665
2013-02-01,6555
2013-02-04,6607
2013-02-05,6618
2013-02-06,6597
2013-02-07,6604
2013-02-08,6552
2013-02-18,6270
2013-02-19,6274
2013-02-20,6207
2013-02-21,5990
2013-02-22,6046
2013-02-25,6044
2013-02-26,6045
2013-02-27,6112
2013-02-28,6080
2013-03-01,5992
2013-03-04,6028
2013-03-05,6089
2013-03-06,6062
2013-03-07,6074
2013-03-08,6044
2013-03-11,6090
2013-03-12,6045
2013-03-13,6085
2013-03-14,6014
2013-03-15,6030
2013-03-18,5979
2013-03-19,6020
2013-03-20,6019
2013-03-21,6012
2013-03-22,6044
2013-03-25,5984
2013-03-26,5971
2013-03-27,5842
2013-03-28,5932
2013-03-29,5832
2013-04-01,5737
2013-04-02,5764
2013-04-03,5547
2013-04-08,5627
2013-04-09,5661
2013-04-10,5765
2013-04-11,5659
2013-04-12,5672
2013-04-15,5334
2013-04-16,4853
2013-04-17,4764
2013-04-18,4710
2013-04-19,4788
2013-04-22,4735
2013-04-23,4587
2013-04-24,4690
2013-04-25,4693
2013-04-26,4885
2013-05-02,4742
2013-05-03,4854
2013-05-06,4968
2013-05-07,4802
2013-05-08,4882
2013-05-09,4928
2013-05-10,4919
2013-05-13,4846
2013-05-14,4851
2013-05-15,4701
2013-05-16,4656
2013-05-17,4632
2013-05-20,4422
2013-05-21,4664
2013-05-22,4650
2013-05-23,4579
2013-05-24,4603
2013-05-27,4644
2013-05-28,4611
2013-05-29,4544
2013-05-30,4633
2013-05-31,4668
2013-06-03,4601
2013-06-04,4625
2013-06-05,4627
2013-06-06,4582
2013-06-07,4633
2013-06-13,4493
2013-06-14,4465
2013-06-17,4492
2013-06-18,4473
2013-06-19,4464
2013-06-20,4293
2013-06-21,4082
2013-06-24,3998
2013-06-25,4022
2013-06-26,3856
2013-06-27,3838
2013-06-28,3839
2013-07-01,4034
2013-07-02,4038
2013-07-03,4006
2013-07-04,4008
2013-07-05,3843
2013-07-08,3940
2013-07-09,3912
2013-07-10,3935
2013-07-11,4076
2013-07-12,4047
2013-07-15,4058
2013-07-16,4063
2013-07-17,3940
2013-07-18,3960
2013-07-19,3959
2013-07-22,4127
2013-07-23,4108
2013-07-24,4063
2013-07-25,4068
2013-07-26,3992
2013-07-29,3976
2013-07-30,3950
2013-07-31,3957
2013-08-01,3948
2013-08-02,3983
2013-08-05,3960
2013-08-06,3936
2013-08-07,3930
2013-08-08,4067
2013-08-09,4094
2013-08-12,4328
2013-08-13,4349
2013-08-14,4379
2013-08-15,4627
2013-08-16,4678
2013-08-19,4644
2013-08-20,4613
2013-08-21,4598
2013-08-22,4630
2013-08-23,4882
2013-08-26,4881
2013-08-27,4993
2013-08-28,4919
2013-08-29,4819
2013-08-30,4718
2013-09-02,4907
2013-09-03,4941
2013-09-04,4720
