Date,Close
2022-10-26,393.96
2022-10-27,393.18
2022-10-28,392.55
2022-10-31,391.76
2022-11-01,391.99
2022-11-02,392.6
2022-11-03,391.98
2022-11-04,392.7
2022-11-07,394.5
2022-11-08,395.18
2022-11-09,403.56
2022-11-10,402.53
2022-11-11,407.19
2022-11-14,402.47
2022-11-15,404.99
2022-11-16,406.77
2022-11-17,407.31
2022-11-18,406.6
2022-11-21,404.71
2022-11-22,404.93
2022-11-23,404.35
2022-11-24,405.9
2022-11-25,406.3
2022-11-28,406.87
2022-11-29,406.68
2022-11-30,405.76
2022-12-01,407.48
2022-12-02,410.0
2022-12-05,406.17
2022-12-06,403.56
2022-12-07,402.4
2022-12-08,403.41
2022-12-09,404.72
2022-12-12,403.69
2022-12-13,405.0
2022-12-14,409.0
2022-12-15,404.38
2022-12-16,403.69
2022-12-19,405.79
2022-12-20,405.78
2022-12-21,409.98
2022-12-22,409.94
2022-12-23,409.03
2022-12-26,407.53
2022-12-27,407.98
2022-12-28,408.99
2022-12-29,407.19
2022-12-30,410.49
2023-01-03,412.26
2023-01-04,413.84
2023-01-05,412.73
2023-01-06,409.35
2023-01-09,413.42
2023-01-10,414.13
2023-01-11,415.0
2023-01-12,414.37
2023-01-13,414.43
2023-01-16,417.21
2023-01-17,418.19
2023-01-18,418.23
2023-01-19,419.21
2023-01-20,422.45
2023-01-30,422.67
2023-01-31,418.33
2023-02-01,421.67
2023-02-02,425.85
2023-02-03,419.52
2023-02-06,414.04
2023-02-07,413.0
2023-02-08,413.45
2023-02-09,414.54
2023-02-10,412.65
2023-02-13,413.83
2023-02-14,413.08
2023-02-15,412.4
2023-02-16,412.0
2023-02-17,411.35
2023-02-20,413.15
2023-02-21,411.8
2023-02-22,414.0
2023-02-23,412.78
2023-02-24,414.01
2023-02-27,413.04
2023-02-28,412.69
2023-03-01,414.75
2023-03-02,414.3
2023-03-03,416.21
2023-03-06,420.26
2023-03-07,419.76
2023-03-08,415.22
2023-03-09,415.46
2023-03-10,417.73
2023-03-13,421.45
2023-03-14,427.0
2023-03-15,426.56
2023-03-16,430.29
2023-03-17,432.42
2023-03-20,449.23
2023-03-21,441.36
2023-03-22,434.14
2023-03-23,438.2
2023-03-24,439.66
2023-03-27,437.22
2023-03-28,435.81
2023-03-29,437.01
2023-03-30,437.19
2023-03-31,440.74
2023-04-03,435.56
2023-04-04,439.51
2023-04-06,446.69
2023-04-07,445.9
2023-04-10,442.33
2023-04-11,444.19
2023-04-12,447.34
2023-04-13,447.86
2023-04-14,449.35
2023-04-17,445.44
2023-04-18,443.7
2023-04-19,443.52
2023-04-20,444.15
2023-04-21,442.44
2023-04-24,441.64
2023-04-25,445.44
2023-04-26,445.93
2023-04-27,446.72
2023-04-28,443.37
2023-05-04,452.79
2023-05-05,454.92
2023-05-08,450.3
2023-05-09,451.14
2023-05-10,452.6
2023-05-11,452.86
2023-05-12,450.41
